73129977395506	快件离开 【金华中转部】 已发往 【义乌中转部】	中转及转运中心
773033657748899	快件由【河南漯河转运中心】发往【江苏江阴转运中心】	中转及转运中心	
773043622268621	快件由【河南漯河转运中心】发往【华北转运中心】	中转及转运中心	
545378351033	快件离开 【广州中心】 已发往 【莱阳中转】	中转及转运中心	
545686038973	快件离开 【广州中心】 已发往 【京南转运中心】	中转及转运中心	
640159467850	快件离开 【广州中心】 已发往 【沧衡转运中心】	中转及转运中心	
640159469012	快件离开 【济南中转部】 已发往 【莱阳中转】	中转及转运中心	
640159475159	快件离开 【广州中心】 已发往 【京南转运中心】	中转及转运中心	
640159475283	快件离开 【广州中心】 已发往 【京南转运中心】	中转及转运中心	
640159475295	快件离开 【济南中转部】 已发往 【莱阳中转】	中转及转运中心	
640159475306	快件离开 【广州中心】 已发往 【京南转运中心】	中转及转运中心	
640159504233	快件离开 【广州中心】 已发往 【华中中转部】	中转及转运中心	
640159504292	快件离开 【广州中心】 已发往 【襄樊中转】	中转及转运中心	
640159504295	快件离开 【潍坊中转部】 已发往 【莱阳中转】	中转及转运中心	
640159504342	快件离开 【佛山中心】 已发往 【襄樊中转】	中转及转运中心	
640159504370	快件离开 【广州中心】 已发往 【襄樊中转】	中转及转运中心	
640159504377	快件离开 【广州中心】 已发往 【京南转运中心】	中转及转运中心	
640159504409	快件离开 【广州中心】 已发往 【华中中转部】	中转及转运中心	
640159504420	快件离开 【北京】 已发往 【京南转运中心】	中转及转运中心	
640159504445	快件离开 【广州中心】 已发往 【京南转运中心】	中转及转运中心	
640177188827	快件离开 【北京】 已发往 【莱阳中转】	中转及转运中心	
640177188875	快件离开 【北京】 已发往 【京南转运中心】	中转及转运中心	
640181231332	快件离开 【天津中转部】 已发往 【京南转运中心】	中转及转运中心	
640193275843	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
640193275875	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
640193275877	快件离开 【北京】 已发往 【沧衡转运中心】	中转及转运中心	
640193275886	快件离开 【西安中转】 已发往 【襄樊中转】	中转及转运中心	
640193276141	快件离开 【北京】 已发往 【邢邯转运中心】	中转及转运中心	
640193276239	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
640193276243	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
640193276301	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
640193276552	快件离开 【水区一部】 已发往 【乌鲁木齐中转】	中转及转运中心	
640193276553	快件离开 【水区一部】 已发往 【乌鲁木齐中转】	中转及转运中心	
640193276554	快件离开 【水区一部】 已发往 【乌鲁木齐中转】	中转及转运中心	
640193276582	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
640193276616	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
640193276646	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
640193276649	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
640193276680	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
640193276712	快件离开 【西安中转】 已发往 【襄樊中转】	中转及转运中心	
640193276713	快件离开 【西安中转】 已发往 【襄樊中转】	中转及转运中心	
640193276719	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
640193276770	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
640193276851	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
640193276894	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
640193276916	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
640193276981	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
640193561692	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
640193561693	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
640193566063	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
640193566067	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
640193566070	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
640193566072	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
640193585331	快件离开 【乌鲁木齐中转】 已发往 【华中中转部】	中转及转运中心	
640193585334	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
640193585347	快件离开 【济南中转部】 已发往 【莱阳中转】	中转及转运中心	
640193585426	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
640193912630	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
640193912655	快件离开 【菏泽】 已发往 【济南中转部】	中转及转运中心	
640193912666	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
640193912687	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
640193912690	快件离开 【西安中转】 已发往 【华中中转部】	中转及转运中心	
640209349824	快件离开 【广州中心】 已发往 【华中中转部】	中转及转运中心	
640213457920	快件离开 【成都中转】 已发往 【京南转运中心】	中转及转运中心	
640213457938	快件离开 【成都中转】 已发往 【滇西中转部】	中转及转运中心	
640236023601	快件离开 【潍坊中转部】 已发往 【莱阳中转】	中转及转运中心	
